group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_support,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_support,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_support,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
Floating-point utilities,scalbn,f256,scalbn,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,214.016,273.841,100,Both,exact,0,8.57944,54.7844,6.38554,qdpp (qd_real),0,0,0,1.49273,yes,exact,320,100,Both,0,0,12.8067,1.49273
Floating-point utilities,scalbln,f256,scalbln,primary,primary,209,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,214.016,273.841,100,Both,exact,0,8.71568,55.9501,6.41947,qdpp (qd_real),0,0,0,1.16103,yes,exact,320,100,Both,0,0,10.1191,1.16103
Floating-point utilities,frexp,f256,frexp,primary,primary,213,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,214.051,250.58,100,Both,exact,0,11.2278,51.1889,4.55913,boost::multiprecision::mpfr_float_backend<64>,exact,105.949,0,4.55913,no,-,-,-,-,-,-,-,-
Floating-point utilities,modf,f256,modf,primary,primary,215,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,187,214.406,50.3689,Both,exact,49.6311,18.8663,118.238,6.26717,boost::multiprecision::mpfr_float_backend<64>,exact,133,49.6311,6.26717,no,-,-,-,-,-,-,-,-
Floating-point utilities,ilogb,f256,ilogb,primary,primary,213,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,79.6315,Both,exact,320,100,Both,0,-20.3685,2.14009,33.7895,15.7888,boost::multiprecision::mpfr_float_backend<64>,0,0,-20.3685,15.7888,no,-,-,-,-,-,-,-,-
Floating-point utilities,logb,f256,logb,primary,primary,213,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,79.6317,Both,exact,320,100,Both,0,-20.3683,8.57191,84.6032,9.86982,boost::multiprecision::mpfr_float_backend<64>,0,0,-20.3683,9.86982,no,-,-,-,-,-,-,-,-
Floating-point utilities,nextafter,f256,nextafter,primary,primary,212,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,212.596,237.078,100,No,exact,0,10.4226,710.859,68.2038,boost::multiprecision::mpfr_float_backend<64>,exact,107.404,0,68.2038,no,-,-,-,-,-,-,-,-
Floating-point utilities,nexttoward(type),f256,nexttoward,primary,primary,212,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,Both,212.596,237.078,100,No,exact,0,9.90319,668.379,67.4913,boost::multiprecision::mpfr_float_backend<64>,exact,107.404,0,67.4913,no,-,-,-,-,-,-,-,-
Roots & powers,sqrt,f256,sqrt,primary,primary,213,boost::multiprecision::mpfr_float_backend<64>,yes,213.093,270.839,100,Both,213.474,241.717,100,Both,-0.380449,0,122.869,183.058,1.48986,boost::multiprecision::mpfr_float_backend<64>,29.1216,-0.380449,0,1.48986,yes,176.034,258.416,77.4285,NaN,37.0588,22.5715,488.025,3.97193
Roots & powers,cbrt,f256,cbrt,primary,primary,213,boost::multiprecision::mpfr_float_backend<64>,yes,216,298.624,100,Both,213.884,234.137,100,Both,2.11625,0,349.63,561.522,1.60605,boost::multiprecision::mpfr_float_backend<64>,64.4864,2.11625,0,1.60605,yes,214.297,261.888,79.9201,NaN,1.70326,20.0799,1214.28,3.47304
Roots & powers,hypot,f256,hypot,primary,primary,212,boost::multiprecision::mpfr_float_backend<64>,yes,215.197,290.765,100,Both,212.75,226.557,100,Both,2.44647,0,204.639,666.518,3.25704,boost::multiprecision::mpfr_float_backend<64>,64.2079,2.44647,0,3.25704,no,-,-,-,-,-,-,-,-
Roots & powers,pow,f256,pow,primary,primary,217,boost::multiprecision::mpfr_float_backend<64>,yes,211.435,256.005,98.4805,Both,206.964,234.266,99.7143,Both,4.47171,-1.23382,2015.2,3147.24,1.56175,boost::multiprecision::mpfr_float_backend<64>,21.7395,4.47171,-1.23382,1.56175,yes,0,192.271,98.5464,No,211.435,-0.0658753,7361.22,3.65285
