group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_correct,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
IO,"parse(big-dec, fixed)",f256,"parse(big-dec, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.076,220.084,100,-,214.041,215.954,100,-,1.03545,0,629.85,664.175,1.0545,qdpp (qd_real),2.29839,1.77147,0,4.49627,yes,213.305,217.785,100,-,1.77147,0,2831.97,4.49627
IO,"parse(big-dec, hexfloat)",f256,"parse(big-dec, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,215.226,306.89,100,-,-,-,-,-,-,-,740.9,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"parse(big-dec, scientific)",f256,"parse(big-dec, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.199,219.922,100,-,214.053,215.934,100,-,1.14653,0,627.075,719.975,1.14815,qdpp (qd_real),2.21736,1.92594,0,4.74967,yes,213.273,217.705,100,-,1.92594,0,2978.4,4.74967
IO,"parse(high-prec, fixed)",f256,"parse(high-prec, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.053,220.014,100,-,214.091,215.972,100,-,0.96234,0,752.825,818.925,1.0878,boost::multiprecision::mpfr_float_backend<64>,4.04155,0.96234,0,1.0878,yes,213.133,215.92,100,-,1.9204,0,3888.15,5.16475
IO,"parse(high-prec, hexfloat)",f256,"parse(high-prec, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,215.195,305.84,100,-,-,-,-,-,-,-,772.325,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"parse(high-prec, scientific)",f256,"parse(high-prec, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.049,219.933,100,-,214.037,216.02,100,-,1.01163,0,634.575,714.125,1.12536,qdpp (qd_real),2.30226,1.74245,0,4.74325,yes,213.306,217.631,100,-,1.74245,0,3009.95,4.74325
IO,"parse(huge, fixed)",f256,"parse(huge, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,100.9,328.375,3.25446,boost::multiprecision::mpfr_float_backend<64>,0,0,0,3.25446,yes,exact,320,100,-,0,0,734.45,7.27899
IO,"parse(huge, hexfloat)",f256,"parse(huge, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,215.028,306.022,100,-,-,-,-,-,-,-,750.375,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"parse(huge, scientific)",f256,"parse(huge, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.088,222.03,100,-,214.055,218.066,100,-,1.03296,0,620.375,687.225,1.10776,qdpp (qd_real),2.2688,1.64451,0,4.63409,yes,213.444,219.762,100,-,1.64451,0,2874.88,4.63409
IO,"parse(large-exp, fixed)",f256,"parse(large-exp, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.118,219.856,100,-,214.008,215.993,100,-,1.11021,0,525.3,1107.1,2.10756,boost::multiprecision::mpfr_float_backend<64>,3.86257,1.11021,0,2.10756,yes,211.74,214.466,99.9754,-,3.37832,0.0246099,4403.77,8.38335
IO,"parse(large-exp, hexfloat)",f256,"parse(large-exp, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,215.013,307.213,100,-,-,-,-,-,-,-,752.625,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"parse(large-exp, scientific)",f256,"parse(large-exp, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.03,219.963,100,-,214.092,215.962,100,-,0.938065,0,303.075,700.55,2.31147,qdpp (qd_real),2.11772,1.90028,0,8.86719,yes,213.13,217.846,100,-,1.90028,0,2687.43,8.86719
IO,"parse(long-med, fixed)",f256,"parse(long-med, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.221,220.028,100,-,214.103,215.982,100,-,1.11758,0,596.95,658.775,1.10357,qdpp (qd_real),1.63183,0.456541,0,4.87323,yes,214.764,218.397,100,-,0.456541,0,2909.07,4.87323
IO,"parse(low-prec, fixed)",f256,"parse(low-prec, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,exact,320,100,-,exact,320,100,-,0,0,48.65,287.95,5.91881,boost::multiprecision::mpfr_float_backend<64>,0,0,0,5.91881,yes,216,230.494,100,-,exact,0,495.9,10.1932
IO,"parse(low-prec, hexfloat)",f256,"parse(low-prec, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,exact,320,100,-,-,-,-,-,-,-,112.025,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"parse(low-prec, scientific)",f256,"parse(low-prec, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.21,248.928,100,-,214.06,246.381,100,-,1.14952,0,71.775,354.475,4.9387,boost::multiprecision::mpfr_float_backend<64>,2.54747,1.14952,0,4.9387,yes,214.817,245.858,100,-,0.392488,0,556.225,7.74956
IO,"parse(med-boundary, default)",f256,"parse(med-boundary, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.159,266.891,100,-,214.1,264.814,100,-,1.05965,0,341.925,535.6,1.56643,qdpp (qd_real),0.856654,0,0,4.93961,yes,215.159,266.035,100,-,0,0,1688.97,4.93961
IO,"parse(med-neg, fixed)",f256,"parse(med-neg, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.227,220.05,100,-,214.05,216.035,100,-,1.17761,0,570.125,634.5,1.11291,qdpp (qd_real),1.53019,0.561878,0,4.93151,yes,214.665,218.519,100,-,0.561878,0,2811.57,4.93151
IO,"parse(med-neg, scientific)",f256,"parse(med-neg, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.15,220.064,100,-,214.065,216.035,100,-,1.08493,0,556.175,650.625,1.16982,qdpp (qd_real),1.6771,0.658108,0,4.76649,yes,214.492,218.387,100,-,0.658108,0,2651,4.76649
IO,"parse(med-pos, fixed)",f256,"parse(med-pos, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.184,220.061,100,-,214.062,215.965,100,-,1.12263,0,559.4,619.375,1.10721,qdpp (qd_real),1.75407,1.20016,0,4.60654,yes,213.984,218.307,100,-,1.20016,0,2576.9,4.60654
IO,"parse(med-pos, scientific)",f256,"parse(med-pos, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.341,220.018,100,-,214.064,215.928,100,-,1.27663,0,571.3,654.45,1.14555,qdpp (qd_real),1.72648,1.44602,0,4.61045,yes,213.895,218.292,100,-,1.44602,0,2633.95,4.61045
IO,"parse(rand_prec, default, brute-huge)",f256,"parse(rand_prec, default, brute-huge)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,159.975,222.79,100,-,214.095,218.647,100,-,-54.1198,0,506.175,662.7,1.30923,boost::multiprecision::mpfr_float_backend<64>,4.14297,-54.1198,0,1.30923,yes,61.8858,217.964,72.5128,-,98.0891,27.4872,2008.95,3.96888
IO,"parse(rand_prec, default, brute-med)",f256,"parse(rand_prec, default, brute-med)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.165,225.527,100,-,214.099,221.722,100,-,1.06551,0,455.8,567.4,1.24484,qdpp (qd_real),1.97561,0.322015,0,4.49287,yes,214.843,223.552,100,-,0.322015,0,2047.85,4.49287
IO,"parse(rand_prec, default, brute-tiny)",f256,"parse(rand_prec, default, brute-tiny)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,215.111,222.916,100,-,214.04,219.074,100,-,1.07128,0,449.125,560.275,1.24748,qdpp (qd_real),1.81505,0,0,4.46563,yes,215.111,221.101,100,-,0,0,2005.62,4.46563
IO,"parse(rand_prec, fixed, brute-huge)",f256,"parse(rand_prec, fixed, brute-huge)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,67.6434,223.085,100,-,214.016,219.528,100,-,-146.373,0,622.725,1193.7,1.9169,boost::multiprecision::mpfr_float_backend<64>,3.55666,-146.373,0,1.9169,yes,-0,114.348,25.7273,-,67.6434,74.2727,4150.1,6.66442
